OBJECTID,name,description,pic_url,thumb_url,categoryID,artifactID,categoryName,lat,long,score,icon_color,Tab_Name
1757,Telescope,"MAHOGANY, LEATHER BOUND, WITH BRASS ENDS/ GLASS LENSES",http://source.techno-science.ca/artifacts-artefacts/images/1968.0528.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0528.001.aa.cs.thumb.png,2177,5126,Manufacturer,48.856614000000000,2.352221900000000,76,R,Europe
1758,"Filter, power line","CHOKE COILS, TURNED WOODEN FORM, COPPER MAGNET WIRE COILS, CERAMIC SURFACE MOUNT LAMP SOCKET, POWER PLUG APAPTOR, TWO METAL CASED PAPER CAPACITORS, ONE THUMB NUT GROUND CONNECTOR. WOODEN MOUNTING BASE. METAL HARDWARE",http://source.techno-science.ca/artifacts-artefacts/images/1968.0529.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0529.001.aa.cs.thumb.png,2178,5127,Manufacturer,45.421529600000000,-75.697193099999993,76,R,Canada
1759,Jack,CAST IRON,http://source.techno-science.ca/artifacts-artefacts/images/1968.0531.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0531.001.aa.cs.thumb.png,2179,5129,Manufacturer,39.758947800000001,-84.191606899999996,76,R,The United States
1760,"Test set, radio frequency","WOODEN CABINET/ ALUMINUM PANEL/ METAL, SYNTHETIC, & GLASS WORKING PARTS/ METAL & SYNTHETIC KNOBS",http://source.techno-science.ca/artifacts-artefacts/images/1968.0532.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0532.001.aa.cs.thumb.png,2180,5131,Manufacturer,42.373615800000003,-71.109733499999990,76,R,The United States
1761,"Amplifier, voltage","ALUMINUM FRONT PANEL & COVER/ PLATED COPPER SIDE PLATES, CHASSIS & INTERNAL SHIELDING/ SYNTHETIC KNOBS & SWITCHES/ METAL, GLASS & SYNTHETIC WORKING PARTS",http://source.techno-science.ca/artifacts-artefacts/images/1968.0533.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0533.001.aa.cs.thumb.png,2181,5132,Manufacturer,42.373615800000003,-71.109733499999990,76,R,The United States
1762,Camera,ALL METAL CONSTRUCTION,http://source.techno-science.ca/artifacts-artefacts/images/1968.0534.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0534.001.aa.cs.thumb.png,2182,5133,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
1763,Camera base,"Wood with metal fittings, with foam inserts on base./ Box wood with metal pins.",http://source.techno-science.ca/artifacts-artefacts/images/1968.0535.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0535.001.aa.cs.thumb.png,2183,5135,Manufacturer,51.507350899999999,-0.127758300000000,76,R,Europe
1764,"Base, mounting",Wooden body & metal fittings.,http://source.techno-science.ca/artifacts-artefacts/images/1968.0535.002.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0535.002.aa.cs.thumb.png,2184,5136,Manufacturer,51.507350899999999,-0.127758300000000,76,R,Europe
1765,"Telephone, field","STEEL TELEPHONE CASING, SOCKETS & COVERS, GONG & BRACKET, CLAPPER, CRANK, HANDSET & PLUG, SCREWS, WASHERS, WING NUTS, PLATES, CHAINS, INSET XMTR, DIAPHRAGM & CONTACT SPRINGS/ BRASS XMTR FRONT COVER (.1)/ GLASS LID WINDOW (SMALL)/ BAKELITE CRANK HANDLE & SOCKET ENDS/ RUBBER COATED WIRE & EARPIECE BAKELITE, PLASTIC, STEEL, RUBBER & BRASS INSET XMTR. WASHERS",http://source.techno-science.ca/artifacts-artefacts/images/1968.0539.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0539.001.aa.cs.thumb.png,2186,5151,Manufacturer,54.323292700000003,10.122765200000000,76,R,Europe
1766,"Telephone, field",SEE SUPP. INFO. FILE,http://source.techno-science.ca/artifacts-artefacts/images/1968.0540.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0540.001.aa.cs.thumb.png,2187,5155,Manufacturer,45.501688899999998,-73.567256000000000,76,R,Canada
